22.05,4.86,11.98,17.48,10.07,7.01,9.49,14.42,7.9,8.44,0.0,18.23,11.7,6.48,18.69,16.51,13.78,13.92,14.63,13.74,16.42,44.24,15.79,12.03,12.43,5.89,9.14,6.84,5.86,15.82,12.42,6.91,11.46,10.92,5.99,12.36,9.49,14.5,13.15,8.01,12.79,6.11,4.68,10.27,7.6,14.55,15.49,13.89,14.97,13.55,10.45,6.4,7.74,3.86,14.23,6.64,6.7,15.35,14.23,7.65,11.81,11.09,4.54,13.17,11.81,12.12,10.36,10.81,5.25,11.15,10.71,11.51,9.14,46.99,45.53,46.89,47.37,42.73,43.96,45.93,13.48,11.82,12.15,8.13,20.89,11.72,14.92,7.57,11.66,9.09,10.38,22.87,24.24,12.3,10.67,5.38,9.79,8.14,7.09,12.08,10.61,9.43,13.38,18.34,10.72,11.86,10.36,18.32,15.24,19.5,16.13,15.14,17.35,18.12,15.54,18.46,11.94,3.52,49.41,6.92,5.15,1.4,7.44,35.03,1.22,11.76,29.0,13.62,35.08,4.81,14.49,6.21,6.8,5.79,6.83,3.26,9.51,3.04,16.62,18.59
35.58,18.39,25.5,32.14,23.59,21.81,23.01,12.88,10.82,21.97,18.23,0.0,25.38,20.19,32.4,1.82,27.49,7.86,29.62,5.95,31.4,57.92,3.65,25.74,7.68,19.6,22.84,20.55,10.88,4.61,11.5,14.72,8.48,24.61,19.7,8.77,23.2,4.32,11.64,21.71,7.36,19.81,18.37,8.68,21.31,13.04,5.15,5.57,3.37,6.4,24.14,15.3,10.73,17.56,12.72,9.68,20.4,5.01,12.72,12.72,7.22,9.53,18.24,6.12,8.57,11.21,15.42,9.9,18.95,10.24,15.77,10.06,11.19,60.68,59.22,60.57,61.05,56.42,57.65,59.62,27.17,25.51,25.83,21.82,34.6,25.41,28.61,21.26,25.35,22.77,24.07,36.58,37.93,25.99,24.38,19.07,23.49,12.88,20.79,17.14,24.32,23.13,27.09,21.8,24.43,25.56,24.07,33.3,30.22,34.48,16.43,13.63,2.67,0.99,19.19,21.92,26.92,18.66,63.1,20.61,20.28,18.28,21.13,50.02,17.66,25.45,43.98,27.31,50.07,19.8,28.18,21.35,21.78,20.93,20.52,15.32,24.49,18.18,5.34,1.33
21.44,11.51,3.69,28.8,1.78,14.78,7.32,21.07,21.05,8.92,11.7,25.38,0.0,13.26,18.12,23.3,13.22,20.71,25.76,20.53,27.55,36.24,22.58,11.46,19.22,12.67,8.57,8.98,16.7,22.61,19.21,13.69,18.25,6.72,12.77,19.15,8.19,21.3,19.95,7.68,19.59,9.29,7.96,17.06,8.13,21.35,22.28,20.69,21.77,20.35,6.89,13.19,16.78,10.64,21.02,19.4,13.48,22.14,21.02,14.45,18.6,17.88,9.52,19.96,18.6,18.91,17.15,17.61,12.03,17.94,17.5,18.31,15.94,38.99,37.54,38.89,39.37,34.74,35.96,37.94,5.37,2.07,4.03,3.97,20.32,2.24,5.44,6.38,3.55,5.76,5.47,22.3,16.25,8.74,9.7,8.66,10.27,14.93,13.87,18.87,10.04,9.37,12.81,25.13,10.15,11.29,10.31,29.44,26.36,30.62,22.92,21.93,24.14,24.91,22.33,25.25,23.07,14.65,41.42,6.57,16.27,12.78,10.49,46.16,12.59,2.94,40.13,5.13,46.21,15.94,5.46,17.34,17.92,10.96,9.88,14.64,20.64,14.17,23.41,25.39
19.64,3.92,13.74,23.59,11.83,13.11,6.46,15.87,15.86,6.03,6.48,20.19,13.26,0.0,16.25,18.26,11.34,15.68,20.72,15.49,22.51,45.64,17.54,9.59,14.18,3.45,6.69,4.4,11.66,17.57,14.17,5.28,13.22,7.51,3.55,14.11,7.05,16.26,14.91,5.56,14.55,5.14,6.09,12.02,5.16,16.31,17.24,15.65,16.73,15.31,6.34,4.78,8.35,3.42,15.99,14.36,5.73,17.11,15.99,9.41,13.56,12.84,3.57,14.92,13.56,13.88,7.07,12.57,1.7,12.91,7.42,13.27,7.51,48.4,46.94,48.29,48.77,44.14,45.36,47.34,8.89,13.23,13.55,9.54,18.45,13.13,16.33,8.98,13.07,10.49,11.78,20.43,25.65,7.97,8.23,6.79,7.34,9.9,4.64,7.83,8.17,6.98,10.94,16.7,8.28,9.41,7.92,24.4,21.32,25.58,14.49,16.9,19.11,19.87,13.9,16.82,18.02,9.61,50.82,8.33,11.23,7.74,8.85,41.12,7.55,13.17,35.08,15.02,41.17,10.9,15.9,12.29,12.88,11.88,8.24,9.6,15.59,9.13,18.37,20.35
11.13,16.13,15.88,35.8,16.7,25.32,13.11,28.08,28.07,11.35,18.69,32.4,18.12,16.25,0.0,30.47,8.97,27.88,32.92,27.7,34.71,44.62,29.75,10.6,26.39,13.95,9.7,12.32,23.87,29.78,26.38,17.48,25.42,12.68,13.16,26.32,11.23,28.46,27.11,10.96,26.76,13.5,17.3,24.23,12.32,28.51,29.45,27.85,28.93,27.51,11.23,16.98,20.56,15.63,28.19,26.57,14.49,29.31,28.19,21.61,25.77,25.05,15.77,27.13,25.77,26.08,19.28,24.78,15.02,25.11,19.63,25.47,19.71,47.37,45.91,47.27,47.75,43.12,44.34,46.32,14.07,18.17,14.25,16.49,10.58,18.08,20.79,14.08,15.66,14.35,15.64,12.56,24.61,12.31,11.8,16.61,12.66,22.1,14.13,20.03,8.08,10.21,9.09,30.18,9.3,8.09,10.77,36.6,33.52,37.78,26.7,29.1,31.31,32.08,26.1,30.29,30.23,21.81,49.79,16.11,23.44,19.94,20.65,53.32,19.76,18.12,47.29,19.97,53.37,23.1,20.84,24.5,25.08,21.12,20.04,21.8,27.8,21.33,30.58,32.55
33.85,16.66,23.78,30.42,21.87,20.09,21.29,11.16,9.1,20.24,16.51,1.82,23.3,18.26,30.47,0.0,25.77,6.14,27.9,4.23,29.68,56.2,1.93,24.02,5.96,17.88,21.12,18.83,9.16,2.89,9.78,12.99,6.76,22.89,17.97,7.05,21.48,2.6,9.92,19.99,5.64,18.09,16.65,6.95,19.59,11.32,3.43,3.85,1.65,4.68,22.41,13.58,9.0,15.84,10.99,7.96,18.68,3.29,10.99,10.99,5.5,7.81,16.52,4.4,6.85,9.49,13.7,8.18,17.23,8.52,14.05,8.34,9.47,58.96,57.5,58.85,59.33,54.7,55.92,57.9,25.45,23.79,24.11,20.1,32.87,23.69,26.89,19.54,23.63,21.05,22.34,34.85,36.21,24.27,22.66,17.35,21.77,11.16,19.07,15.42,22.59,21.41,25.37,20.08,22.71,23.84,22.35,31.58,28.5,32.76,14.71,11.9,0.84,1.71,17.47,20.2,25.2,16.94,61.38,18.89,18.56,16.56,19.41,48.3,15.94,23.73,42.26,25.58,48.35,18.07,26.46,19.62,20.06,19.21,18.8,13.6,22.77,16.46,3.62,2.19
10.14,11.22,10.97,30.89,11.79,20.42,8.2,23.17,23.16,6.44,13.78,27.49,13.22,11.34,8.97,25.77,0.0,22.97,28.01,22.79,29.8,45.82,24.84,2.53,21.48,9.04,4.79,7.41,18.96,24.87,21.47,12.58,20.51,7.78,8.25,21.41,6.33,23.55,22.2,6.05,21.85,8.6,12.39,19.32,7.41,23.61,24.54,22.95,24.03,22.6,6.32,12.07,15.65,10.72,23.28,21.66,9.59,24.4,23.28,16.7,20.86,20.14,10.86,22.22,20.86,21.17,14.37,19.87,10.11,20.2,14.72,20.56,14.8,48.57,47.12,48.47,48.95,44.32,45.54,47.52,9.16,13.26,9.34,11.58,8.95,13.17,15.88,9.17,10.75,9.44,10.73,10.93,24.71,7.4,6.89,11.7,7.75,17.19,9.22,15.12,4.27,5.3,1.44,24.0,3.06,5.52,5.87,31.7,28.62,32.88,21.79,24.19,26.4,27.17,21.19,24.12,25.32,16.9,50.99,11.21,18.53,15.03,15.74,48.41,14.85,13.21,42.38,15.06,48.46,18.19,15.93,19.59,20.18,16.21,15.13,16.89,22.89,16.42,25.67,27.65
31.27,14.08,21.2,27.83,19.29,17.51,18.7,8.57,6.16,17.66,13.92,7.86,20.71,15.68,27.88,6.14,22.97,0.0,25.33,3.27,27.12,53.64,5.32,21.45,4.37,15.31,18.55,16.26,6.59,5.35,7.21,10.43,4.2,20.32,15.41,4.02,18.91,4.04,7.35,17.42,2.65,15.52,14.08,4.39,17.02,8.75,5.02,3.43,4.51,3.09,19.85,11.01,6.44,13.27,8.43,4.93,16.11,4.89,8.43,8.43,2.47,5.24,13.95,2.28,3.82,6.92,11.13,5.61,14.66,5.95,11.48,5.11,6.9,56.39,54.93,56.29,56.77,52.13,53.36,55.33,22.88,21.22,21.54,17.53,30.31,21.12,24.32,16.97,21.06,18.49,19.78,32.29,33.64,21.7,20.09,14.78,19.2,8.59,16.51,12.85,20.03,18.84,22.8,17.51,20.14,21.27,19.78,29.01,25.93,30.19,12.15,9.34,6.89,7.65,14.91,17.63,22.63,14.37,58.81,16.32,16.0,13.99,16.84,45.73,13.38,21.16,39.69,23.02,45.78,15.51,23.89,17.06,17.49,16.64,16.23,11.03,20.2,13.89,6.16,8.13
36.31,19.12,26.24,3.27,24.33,18.54,23.75,25.3,19.76,22.7,14.63,29.62,25.76,20.72,32.92,27.9,28.01,25.33,0.0,24.79,2.12,58.5,26.84,26.29,23.49,20.15,23.39,21.1,17.72,26.87,23.47,20.35,22.52,25.18,20.25,23.42,23.75,25.56,24.21,22.26,23.85,20.36,18.94,21.33,21.86,25.61,26.54,24.95,26.03,24.61,24.71,20.94,19.6,18.11,25.29,18.5,20.95,26.41,25.29,18.35,22.87,22.14,18.79,24.23,22.87,23.18,21.06,21.87,19.5,22.21,21.41,20.44,19.84,61.25,59.79,61.14,61.62,56.99,58.22,60.19,27.74,26.08,26.4,22.39,35.15,25.98,29.18,21.83,25.92,23.34,24.64,37.13,38.5,26.56,24.93,19.64,24.04,18.84,21.35,22.78,24.87,23.68,27.64,29.04,24.98,26.11,24.62,4.02,1.32,5.2,26.83,26.2,28.41,29.18,26.24,29.16,7.88,15.06,63.67,21.18,16.68,15.9,21.7,20.74,15.29,26.02,14.7,27.88,20.79,10.21,28.75,17.75,7.84,17.33,18.41,15.12,10.19,14.58,27.68,29.65
31.08,13.9,21.01,27.65,19.1,17.32,18.52,8.39,6.33,17.47,13.74,5.95,20.53,15.49,27.7,4.23,22.79,3.27,24.79,0.0,26.83,53.35,3.51,21.16,3.07,15.02,18.26,15.97,6.3,3.54,6.92,10.14,3.91,20.03,15.12,4.19,18.62,2.22,7.06,17.13,2.78,15.23,13.79,4.1,16.73,8.46,3.21,1.03,2.7,1.79,19.56,10.72,6.15,12.98,8.14,5.1,15.82,3.07,8.14,8.14,2.64,4.95,13.66,1.54,3.99,6.63,10.84,5.32,14.37,5.66,11.19,5.49,6.61,56.1,54.64,56.0,56.48,51.84,53.07,55.04,22.59,20.93,21.25,17.24,30.02,20.83,24.03,16.68,20.77,18.2,19.49,32.0,33.35,21.41,19.8,14.49,18.91,8.3,16.21,12.56,19.74,18.55,22.51,17.22,19.85,20.98,19.49,28.72,25.64,29.9,11.85,9.05,5.07,5.84,14.62,17.34,22.34,14.08,58.52,16.03,15.71,13.7,16.55,45.44,13.08,20.87,39.4,22.73,45.49,15.22,23.6,16.77,17.2,16.35,15.94,10.74,19.91,13.6,4.34,6.32
