21.929,21.503,12.433,42.581,25.541,25.555,16.123,31.139,17.795,42.89,10000,26.81,15.077,25.785,20.309,13.354,19.856,22.123,24.232,20.476,52.443,13.551,26.031,15.378,19.356,38.588,19.264,22.127,20.856,41.895,21.614,35.697,37.714,24.341,19.695,23.964,29.946,17.759,25.694,25.29,20.497,17.977,30.59,28.282,18.497,27.062,21.756,30.626,17.402,30.601,10.49,12.91,18.77,18.913,25.122,25.291,13.627,19.335,18.297,19.934,11.338,24.032,14.282,30.344,11.41,17.106,13.999,25.302,17.993,11.627,18.854,16.356,14.115,26.201,25.17,17.609,17.186,14.764,26.794,25.602,16.303,21.107,25.949,18.099,25.4,15.128,12.571,26.04,24.772,20.908,16.85,17.444,30.546,11.749,23.797,19.264,23.169,20.585,25.472,14.754,23.728,15.452,21.576,13.981,19.861,14.146,12.437,17.789,16.909,21.238,21.625,15.866,14.874,14.011,11.922,15.634
29.7,8.298,13.419,31.982,27.471,27.485,19.667,20.194,18.952,32.828,39.332,10000,22.344,27.715,27.111,15.284,21.786,29.39,31.034,22.406,54.373,15.481,0.877,17.034,9.793,21.447,10.161,24.057,27.658,33.743,12.511,37.627,39.644,26.271,26.497,13.019,24.558,26.637,27.624,1.77,22.427,19.907,19.645,30.212,25.299,17.959,23.686,19.681,12.484,21.498,17.757,20.177,25.572,20.07,14.177,16.188,12.712,26.137,19.454,15.944,18.236,3.156,15.938,21.241,11.601,23.908,15.022,16.199,11.937,16.789,10.801,23.158,13.2,17.098,14.225,12.241,17.195,16.694,15.849,16.499,13.443,23.037,18.851,24.901,3.01,14.213,11.065,16.937,15.669,11.805,23.652,11.309,21.443,19.016,14.694,14.6,14.066,14.948,16.369,10.485,14.625,8.938,12.473,13.066,9.725,12.624,14.086,13.576,16.918,12.135,12.522,11.467,10.176,9.623,13.377,9.906
10.896,19.128,7.479,39.873,22.833,12.921,1.248,28.764,9.231,40.182,24.024,24.435,10000,15.344,15.031,10.646,17.148,11.09,7.147,10.035,42.002,10.843,23.656,6.899,16.981,36.213,16.889,7.897,9.961,39.187,19.239,32.989,35.006,21.633,14.417,21.589,27.238,6.726,13.06,22.915,10.441,15.269,28.215,25.574,13.219,24.687,9.667,28.251,14.694,28.226,5.745,2.279,11.738,10.349,22.747,22.916,10.919,14.057,9.733,17.226,8.601,21.657,6.444,27.969,8.673,11.828,11.291,22.927,15.618,5.786,16.479,10.164,11.407,23.826,22.795,15.234,14.478,12.056,24.419,23.227,13.595,8.894,23.574,12.821,23.025,12.42,9.916,23.665,22.397,18.533,11.572,14.736,28.171,4.854,21.422,16.556,17.892,17.877,23.097,12.046,21.353,12.797,19.201,11.273,17.486,11.438,9.729,15.081,14.201,18.863,16.052,13.158,12.166,13.039,9.185,12.926
13.119,31.382,22.312,42.201,25.161,3.382,17.498,33.177,27.401,42.51,22.007,27.895,15.346,10000,29.915,15.037,19.476,14.877,17.438,5.281,27.822,15.234,27.116,12.225,29.235,48.467,29.143,7.476,30.462,41.515,22.007,35.317,37.334,23.961,29.301,33.843,29.566,10.056,4.591,26.375,6.985,17.597,32.628,8.794,28.103,25.56,7.105,32.664,17.022,29.099,18.789,15.487,28.376,28.519,35.001,25.684,16.342,28.941,27.903,20.493,19.268,25.117,12.315,28.842,19.34,26.712,13.619,25.635,27.872,17.821,28.733,25.962,15.323,24.699,35.049,27.488,16.806,14.384,36.673,24.1,15.923,6.456,24.447,27.705,26.485,14.687,18.887,24.538,23.27,20.891,26.456,18.497,29.044,16.156,22.358,19.823,21.159,21.144,22.272,17.469,22.333,19.906,20.665,16.696,20.938,16.861,15.125,18.348,16.529,20.436,19.319,17.35,17.589,18.462,19.852,18.349
18.942,25.874,11.709,46.679,29.639,29.653,15.761,35.51,7.026,46.988,35.294,31.181,19.175,29.883,10000,17.452,23.954,19.136,14.517,24.574,56.541,17.649,30.402,19.476,23.727,42.959,23.635,26.225,8.417,45.993,25.985,39.795,41.812,28.439,0.699,28.335,34.044,21.857,29.792,29.661,24.595,22.075,34.961,32.38,3.704,31.433,25.854,34.997,21.5,34.972,14.588,17.008,4.012,7.123,29.493,29.662,17.725,1.887,6.448,24.032,15.436,28.403,18.38,34.715,15.508,4.591,18.097,29.673,22.364,15.725,23.225,5.526,18.213,30.572,29.541,21.98,21.284,18.862,31.165,29.973,20.401,25.205,30.32,2.507,29.771,19.226,16.942,30.411,29.143,25.279,3.924,21.542,34.917,15.847,28.168,23.362,27.54,24.683,29.843,18.852,28.099,19.823,25.947,18.079,24.232,18.244,16.535,21.887,21.007,25.609,25.996,19.964,18.972,19.845,16.02,19.732
16.932,18.679,9.609,31.743,14.703,14.717,11.35,28.315,14.698,32.052,29.582,15.59,10.673,14.947,17.212,10000,9.018,18.69,16.422,9.638,41.605,2.625,14.811,4.323,16.532,35.764,16.44,11.289,17.759,31.057,18.79,24.859,26.876,13.503,16.598,21.14,19.108,13.869,14.856,14.07,9.659,7.139,27.766,17.444,15.4,15.102,10.918,27.802,6.564,18.641,6.086,8.506,15.673,15.816,22.298,22.467,4.037,16.238,15.2,10.035,6.565,12.812,3.227,18.384,4.252,14.009,3.161,22.478,15.169,4.078,16.03,13.259,4.525,14.241,22.346,14.785,6.348,3.926,23.97,13.642,5.465,10.269,13.989,15.002,14.18,3.034,6.582,14.08,12.812,8.764,13.753,8.039,18.586,7.345,11.9,9.365,10.701,10.686,11.814,5.164,11.875,7.601,10.207,4.391,8.633,3.246,1.942,7.89,6.071,8.313,8.861,6.892,5.284,6.157,7.149,6.044
21.811,25.602,16.532,27.162,10.122,19.596,18.273,23.113,21.621,27.471,30.699,22.115,17.596,19.826,24.135,9.257,10000,23.569,23.345,14.517,35.32,9.454,21.336,12.286,23.455,42.687,12.499,16.168,24.682,26.476,11.943,20.278,22.295,8.922,23.521,28.063,11.059,18.748,19.735,20.595,14.538,1.712,22.564,12.863,22.323,16.656,15.797,22.6,6.958,12.41,13.009,15.429,22.596,22.739,29.221,15.62,10.562,23.161,22.123,10.429,13.488,19.337,11.19,14.191,13.56,20.932,4.608,15.571,22.092,12.041,22.953,20.182,6.312,14.635,29.269,21.708,5.128,3.398,30.893,15.944,5.868,15.148,14.383,21.925,20.705,5.676,13.107,14.474,13.206,10.827,20.676,8.433,14.393,14.268,12.294,9.759,11.095,11.08,12.208,11.689,12.269,14.126,10.601,10.916,9.744,11.081,9.345,8.284,5.497,10.372,9.255,7.286,11.809,12.682,14.072,8.683
1.864,27.761,18.691,46.038,28.998,9.591,13.218,37.397,16.739,46.347,15.134,29.494,11.066,14.774,19.253,17.668,23.313,10000,4.619,9.465,38.239,17.865,28.715,13.921,25.614,44.846,25.522,9.334,10.745,45.352,27.872,39.154,41.171,27.798,18.639,30.222,33.403,7.673,9.73,27.974,10.372,21.434,36.848,21.427,17.441,33.32,7.854,36.884,20.859,36.859,12.767,11.207,17.714,17.857,31.38,31.549,17.941,18.279,17.241,24.33,15.623,26.716,13.466,36.602,15.695,16.05,17.456,31.56,24.251,12.808,25.112,15.3,18.429,32.459,31.428,23.867,20.643,18.221,33.052,31.86,19.76,9.339,32.207,17.043,28.084,18.524,18.829,32.298,31.03,27.166,15.794,22.334,36.804,11.876,26.195,23.66,24.996,24.981,26.109,19.068,29.986,21.505,27.834,18.295,22.537,18.46,16.751,22.185,20.366,27.496,23.156,21.187,19.188,20.061,16.207,19.948
4.425,29.412,13.287,45.598,28.558,12.152,7.605,39.048,12.12,45.907,19.754,34.719,7.123,17.335,14.634,16.371,22.873,4.619,10000,12.026,40.8,16.568,33.94,12.624,27.265,46.497,27.173,9.58,6.126,44.912,29.523,38.714,40.731,27.358,14.02,31.873,32.963,8.409,12.291,33.199,12.124,20.994,38.499,31.299,12.822,34.971,10.415,38.535,20.419,38.51,11.47,9.91,13.095,13.238,33.031,33.2,16.644,13.66,12.622,22.951,14.326,31.941,12.169,38.253,14.398,11.431,17.016,33.211,25.902,11.511,26.763,10.681,17.132,34.11,33.079,25.518,20.203,17.781,34.703,33.511,19.32,10.577,33.858,12.424,33.309,18.145,20.48,33.949,32.681,28.817,11.175,20.461,38.455,10.579,31.706,22.281,23.617,23.602,33.381,17.771,31.637,20.208,29.485,16.998,27.77,17.163,15.454,20.806,19.926,29.147,21.777,18.883,17.891,18.764,14.91,18.651
7.837,26.1,17.03,36.919,19.879,5.622,12.216,27.895,22.119,37.228,16.725,22.613,10.064,5.308,24.633,9.755,14.194,9.595,12.156,10000,31.966,9.952,21.834,6.943,23.953,43.185,23.861,2.194,25.18,36.233,16.725,30.035,32.052,18.679,24.019,28.561,24.284,4.774,5.761,21.093,1.703,12.315,27.346,12.611,22.821,20.278,1.823,27.382,11.74,23.817,13.507,10.205,23.094,23.237,29.719,20.402,11.06,23.659,22.621,15.211,13.986,19.835,7.033,23.56,14.058,21.43,8.337,20.353,22.59,12.539,23.451,20.68,10.041,19.417,29.767,22.206,11.524,9.102,31.391,18.818,10.641,1.174,19.165,22.423,21.203,9.405,13.605,19.256,17.988,15.609,21.174,13.215,23.762,10.874,17.076,14.541,15.877,15.862,16.99,12.187,17.051,14.624,15.383,11.414,15.656,11.579,9.843,13.066,11.247,15.154,14.037,12.068,12.307,13.18,14.57,13.067
