7.17,9.89,8.88,9.22,5.49,9.35,7.31,8.06,6.61,2.18,4.89,9.09,3.33,0.0,3.85,5.42,5.97,10.07,6.54,6.56,5.56,5.12,2.76,7.52,7.77,7.55,6.77,1.01,1.48,5.43,4.94,3.78,2.19,6.73,3.44,7.7,5.52,4.89,4.41,5.93,4.36,4.33,8.77,7.09,7.84
4.27,7.74,6.73,7.07,3.35,6.46,5.74,5.16,4.46,2.78,1.99,6.94,2.1,3.85,0.0,7.51,3.83,7.17,3.64,5.05,7.64,3.61,4.81,4.62,5.62,6.04,7.34,4.67,3.36,3.66,2.04,3.11,2.19,4.59,4.98,5.56,4.01,6.69,6.91,6.32,4.38,2.18,5.19,4.94,5.69
8.53,15.33,11.91,13.63,9.91,8.37,4.49,9.71,11.02,6.14,7.25,13.5,7.29,5.42,7.51,0.0,10.57,8.44,7.4,5.13,1.86,5.89,3.85,8.6,13.4,6.06,2.76,4.31,4.9,6.2,6.23,4.36,6.12,11.33,2.84,12.3,3.95,2.15,1.35,3.18,2.84,8.93,9.77,11.68,12.43
2.21,4.59,3.73,4.04,1.88,6.55,8.62,5.26,1.31,4.91,4.26,3.79,4.22,5.97,3.83,10.57,0.0,7.22,4.28,7.97,10.56,6.52,6.8,4.67,2.42,9.01,10.25,6.84,5.52,5.8,4.95,6.03,4.35,1.39,7.89,2.36,6.93,9.61,9.82,9.24,7.29,3.05,5.24,1.74,4.18
5.24,9.47,6.05,13.83,10.41,2.51,6.75,3.8,8.53,9.0,5.14,11.48,8.32,10.07,7.17,8.44,7.22,0.0,5.3,4.27,8.33,6.65,7.98,2.62,7.42,4.12,8.18,9.81,9.03,6.97,7.0,6.29,8.51,8.47,8.33,9.57,4.73,7.38,7.59,7.16,6.44,8.51,3.79,9.11,12.48
2.3,8.86,5.43,9.77,6.04,4.49,5.44,3.19,5.58,5.47,1.61,8.06,4.79,6.54,3.64,7.4,4.28,5.3,0.0,4.82,7.41,3.01,4.57,2.6,6.8,6.94,7.1,7.32,6.0,2.56,1.87,2.88,4.83,5.66,4.74,6.63,3.78,6.46,6.67,6.09,4.14,4.83,3.17,6.01,8.34
7.18,11.41,7.99,11.18,7.45,4.45,1.87,5.79,8.57,6.88,4.8,11.05,6.2,6.56,5.05,5.13,7.97,4.27,4.82,0.0,5.15,3.21,4.54,5.0,9.79,1.64,3.44,6.63,5.59,3.53,3.56,2.85,6.25,8.66,5.16,9.62,1.52,4.2,4.41,2.42,3.0,6.25,6.17,9.01,9.76
8.67,15.47,12.04,13.77,10.04,8.51,3.08,9.84,11.16,6.28,7.39,13.64,7.43,5.56,7.64,1.86,10.56,8.33,7.41,5.15,0.0,5.41,3.99,8.13,12.92,5.58,1.35,4.45,5.03,5.72,5.75,4.49,6.26,10.85,2.97,11.82,3.48,1.49,1.88,1.97,2.98,8.45,9.3,11.21,11.96
4.27,10.83,7.41,9.73,6.01,6.83,3.93,5.16,7.12,5.44,3.35,9.6,4.75,5.12,3.61,5.89,6.52,6.65,3.01,3.21,5.41,0.0,3.07,4.81,8.21,4.29,5.59,5.94,4.11,1.16,2.08,1.37,4.78,7.18,3.23,8.15,2.27,4.95,5.17,4.58,2.64,4.77,5.38,7.53,8.28
5.84,10.68,8.97,10.01,6.28,8.16,5.26,6.73,7.4,2.97,4.55,9.88,4.12,2.76,4.81,3.85,6.8,7.98,4.57,4.54,3.99,3.07,0.0,6.15,8.56,5.5,5.24,3.59,1.76,3.39,3.42,1.74,2.98,7.52,1.4,8.49,3.48,3.36,2.89,4.4,2.32,5.12,6.72,7.87,8.63
2.69,6.92,3.49,11.28,7.86,1.8,6.9,1.25,5.98,6.45,2.58,8.92,5.77,7.52,4.62,8.6,4.67,2.62,2.6,5.0,8.13,4.81,6.15,0.0,4.8,4.34,8.4,8.38,7.06,4.21,3.7,4.52,5.89,5.85,6.39,6.95,4.95,7.6,7.82,7.39,6.66,5.89,1.17,6.49,9.86
4.63,2.52,1.32,5.84,3.67,6.6,11.7,5.29,3.1,6.7,6.78,3.67,6.02,7.77,5.62,13.4,2.42,7.42,6.8,9.79,12.92,8.21,8.56,4.8,0.0,9.15,13.21,8.63,7.31,8.27,6.74,7.82,6.14,1.14,9.68,2.24,9.76,12.41,12.62,12.19,9.08,4.84,3.63,2.92,5.98
7.03,11.26,7.83,12.16,8.44,4.29,3.55,5.63,9.55,7.87,5.78,13.26,7.18,7.55,6.04,6.06,9.01,4.12,6.94,1.64,5.58,4.29,5.5,4.34,9.15,0.0,5.05,7.36,6.57,4.51,4.54,3.84,7.24,9.64,5.88,10.61,2.27,4.93,5.14,4.03,3.99,7.24,6.06,9.99,10.75
8.36,15.32,11.89,13.46,9.74,8.36,2.77,9.69,10.85,7.5,7.08,13.33,8.48,6.77,7.34,2.76,10.25,8.18,7.1,3.44,1.35,5.59,5.24,8.4,13.21,5.05,0.0,5.66,6.25,5.8,5.83,5.13,7.47,10.93,4.19,11.9,3.79,2.68,3.09,1.66,3.51,8.53,10.01,11.28,12.03
8.0,10.72,9.71,10.05,6.32,9.99,6.63,8.89,7.44,3.01,5.71,9.92,4.16,1.01,4.67,4.31,6.84,9.81,7.32,6.63,4.45,5.94,3.59,8.38,8.63,7.36,5.66,0.0,2.34,6.29,5.8,4.64,3.06,7.6,3.27,8.57,5.55,3.75,3.27,4.78,4.44,5.19,9.64,7.95,8.7
6.68,9.4,8.39,8.73,5.0,8.87,6.31,7.57,6.12,1.69,4.4,8.6,2.84,1.48,3.36,4.9,5.52,9.03,6.0,5.59,5.03,4.11,1.76,7.06,7.31,6.57,6.25,2.34,0.0,4.43,4.46,2.78,1.71,6.24,2.44,7.21,4.52,4.41,3.93,5.44,3.36,3.84,8.28,6.6,7.35
3.82,10.38,6.96,9.78,6.06,6.01,4.25,4.71,7.17,5.49,2.44,9.65,4.8,5.43,3.66,6.2,5.8,6.97,2.56,3.53,5.72,1.16,3.39,4.21,8.27,4.51,5.8,6.29,4.43,0.0,1.4,1.68,4.85,7.26,3.54,8.22,2.58,5.26,5.48,4.89,2.95,4.85,4.69,7.61,8.36
3.32,9.88,6.45,8.16,4.44,5.5,4.28,4.21,5.55,3.87,1.04,8.03,3.19,4.94,2.04,6.23,4.95,7.0,1.87,3.56,5.75,2.08,3.42,3.7,6.74,4.54,5.83,5.8,4.46,1.4,0.0,1.72,3.09,5.49,3.58,6.46,2.62,5.3,5.51,4.93,2.98,3.09,4.7,5.84,6.6
4.14,10.7,7.28,9.24,5.52,6.47,3.57,5.03,6.63,3.99,2.86,9.11,4.26,3.78,3.11,4.36,6.03,6.29,2.88,2.85,4.49,1.37,1.74,4.52,7.82,3.84,5.13,4.64,2.78,1.68,1.72,0.0,4.42,6.82,1.9,7.79,1.79,4.47,3.39,4.1,2.15,4.42,5.02,7.18,7.93
5.51,8.23,7.22,7.56,3.83,7.7,6.97,6.4,4.95,1.13,3.23,7.43,1.67,2.19,2.19,6.12,4.35,8.51,4.83,6.25,6.26,4.78,2.98,5.89,6.14,7.24,7.47,3.06,1.71,4.85,3.09,4.42,0.0,5.07,3.67,6.04,5.25,5.63,5.15,6.67,5.62,2.67,7.11,5.43,6.18
3.6,3.23,2.38,4.8,2.64,7.66,9.38,6.34,2.07,5.67,5.63,2.64,4.98,6.73,4.59,11.33,1.39,8.47,5.66,8.66,10.85,7.18,7.52,5.85,1.14,9.64,10.93,7.6,6.24,7.26,5.49,6.82,5.07,0.0,8.65,1.2,7.68,10.36,10.58,10.0,8.05,3.8,4.69,1.89,4.94
6.0,12.56,9.14,11.1,7.38,8.51,5.16,6.89,8.49,3.65,4.72,10.97,4.8,3.44,4.98,2.84,7.89,8.33,4.74,5.16,2.97,3.23,1.4,6.39,9.68,5.88,4.19,3.27,2.44,3.54,3.58,1.9,3.67,8.65,0.0,9.63,4.15,2.35,1.87,3.38,1.91,6.25,6.85,9.01,9.76
