18.66,14.65,15.63,15.32,1.94,6.62,11.48,14.25,9.84,13.95,11.07,15.43,9.35,15.44,17.94,10.11,10.99,17.04,7.63,4.05,0.0,1.91,7.71,5.98,2.28,4.5,8.94,6.29,7.53,4.9,15.41,16.63,5.0,6.11,16.47,1.88,4.65,14.04,7.06,5.31,6.08,6.04,10.92,15.0,7.21,5.19,7.96,3.18,4.22,5.52,10.15,4.55,12.44,3.45,1.42,4.14,7.38,14.44,2.47,6.39,5.03,17.19,4.69,15.72,4.79,7.28,11.82,6.71,18.64,16.18,12.48,12.82,15.14,14.07,13.82,11.26,13.22,11.84,12.67,16.58,6.81,8.19,6.73,8.76,11.56,12.27,1.54,2.5
17.76,13.07,14.05,14.41,4.38,7.43,12.42,13.35,8.26,13.05,10.17,14.53,8.45,14.54,17.04,9.2,9.41,16.14,6.73,4.86,1.91,0.0,6.75,4.33,1.22,2.76,9.98,5.33,8.57,3.16,14.45,15.67,5.92,4.46,15.51,3.34,3.0,13.08,5.41,5.72,5.12,6.96,11.95,14.04,6.25,6.23,8.89,3.44,3.89,4.57,9.19,2.9,11.48,2.39,2.07,5.06,8.31,13.48,2.94,5.43,3.29,16.23,2.95,14.76,3.14,8.32,10.86,5.75,16.99,14.54,10.83,11.17,13.49,12.42,12.17,9.61,11.57,10.19,11.02,14.93,5.16,6.54,5.78,7.8,10.61,11.31,3.37,3.54
11.91,14.33,15.3,8.57,10.88,7.54,13.73,7.5,9.52,7.2,4.32,8.68,1.69,8.69,11.2,3.36,10.67,10.3,1.31,7.48,7.71,6.75,0.0,8.17,8.02,8.99,14.69,1.84,15.37,9.39,9.08,10.29,6.96,4.47,10.13,10.14,6.84,7.7,6.76,4.28,3.13,6.89,9.94,8.67,2.96,13.03,8.81,6.24,4.75,3.3,7.76,6.73,6.1,9.02,6.91,5.68,8.23,8.11,5.74,4.0,9.52,10.85,9.18,9.39,4.32,15.27,5.48,4.31,11.36,14.16,12.18,12.52,16.01,15.44,13.52,10.96,12.92,11.54,12.37,16.29,6.51,7.89,3.86,2.42,5.23,6.53,9.49,10.34
18.35,11.05,12.03,15.43,8.45,8.45,16.12,14.37,6.24,14.07,11.19,15.55,9.47,15.56,17.49,10.22,7.4,17.16,7.75,5.88,5.98,4.33,8.17,0.0,5.31,6.28,14.07,4.42,12.66,6.69,14.21,17.02,7.27,2.56,20.63,7.43,2.82,12.83,3.5,7.06,6.47,8.31,11.36,13.8,6.01,10.32,10.23,4.78,5.23,3.3,10.54,1.58,11.23,6.32,4.53,6.41,9.65,13.23,3.21,6.78,6.81,19.74,6.47,18.27,3.38,12.41,10.61,7.09,15.08,12.63,8.92,9.26,11.58,10.52,10.26,7.7,9.67,8.29,9.12,13.03,3.25,4.63,3.88,7.55,10.36,12.65,7.47,7.63
18.63,13.94,14.92,15.28,3.3,8.3,11.34,14.22,9.13,13.92,11.04,15.4,9.32,15.41,17.91,10.07,10.28,17.01,7.6,5.73,2.28,1.22,8.02,5.31,0.0,4.17,8.76,7.01,7.35,4.58,16.13,17.35,5.98,6.14,17.19,2.12,4.68,14.76,7.09,7.4,6.8,7.02,10.73,15.72,7.94,5.01,13.7,5.12,5.57,6.25,10.87,4.58,13.16,2.33,2.4,5.11,14.39,15.16,3.45,7.11,4.7,17.91,4.36,16.44,4.82,7.1,12.54,7.43,18.67,16.22,12.51,12.85,15.17,14.1,13.85,11.29,13.25,11.87,12.7,16.61,6.84,8.22,7.46,9.48,12.29,12.99,3.44,2.32
19.6,14.91,15.89,16.25,6.46,9.27,14.5,15.19,10.1,14.89,12.01,16.37,10.29,16.38,18.88,11.05,11.25,17.98,8.57,6.7,4.5,2.76,8.99,6.28,4.17,0.0,12.04,7.19,10.63,2.44,16.31,17.53,7.78,6.32,17.37,5.4,3.49,14.94,7.26,7.57,6.98,8.82,14.01,15.9,8.11,8.29,10.74,5.3,5.75,6.42,11.05,4.76,13.33,2.04,4.68,6.92,10.16,15.34,4.8,7.29,2.57,18.08,2.23,16.62,5.0,10.37,12.71,7.6,18.84,16.39,12.68,13.02,15.34,14.28,14.03,11.47,13.43,12.05,12.88,16.79,7.01,8.4,7.63,9.66,12.46,13.17,5.98,5.59
25.27,22.7,23.68,21.31,8.93,7.3,1.96,20.99,17.89,19.94,16.66,21.42,15.99,21.44,24.55,16.74,19.04,23.64,14.27,10.66,8.94,9.98,14.69,14.07,8.76,12.04,0.0,13.31,1.98,13.14,21.43,23.67,8.22,14.86,23.52,8.74,13.4,20.68,15.81,9.23,12.2,6.83,2.93,22.05,13.73,4.35,5.63,10.21,9.71,13.19,12.86,13.3,16.24,10.9,11.0,8.46,6.31,21.49,10.91,10.65,13.27,24.23,12.93,22.77,13.29,1.23,15.2,11.49,24.74,27.54,21.23,21.57,23.89,22.82,22.57,20.01,21.97,20.59,21.42,25.34,15.56,16.94,14.4,15.27,17.81,14.98,10.06,7.35
12.46,12.24,13.21,9.11,9.45,6.62,12.81,8.04,7.43,7.74,4.86,9.22,3.15,9.24,11.74,3.9,8.58,10.84,2.22,6.06,6.29,5.33,1.84,4.42,7.01,7.19,13.31,0.0,13.58,7.61,9.58,10.8,6.13,2.38,10.64,8.35,5.05,8.21,4.67,3.46,1.7,6.06,9.12,9.17,2.13,11.24,7.99,4.45,3.93,1.21,6.93,2.96,6.61,7.23,5.12,4.86,7.41,8.61,3.95,3.17,7.73,11.36,7.39,9.89,2.6,13.33,5.99,3.49,11.86,14.66,10.09,10.43,12.75,11.68,11.43,8.87,10.83,9.45,10.28,14.2,4.42,5.8,1.74,2.93,5.74,7.03,7.71,8.55
27.05,21.29,22.26,23.09,7.52,9.09,3.74,22.77,16.48,21.73,18.44,23.21,16.67,23.22,26.34,17.42,17.63,25.42,14.95,12.44,7.53,8.57,15.37,12.66,7.35,10.63,1.98,13.58,0.0,11.02,23.19,25.44,9.99,12.74,25.28,6.62,11.28,22.45,13.68,11.0,13.96,8.6,4.74,23.82,15.5,3.87,7.4,11.97,11.47,12.84,14.63,11.18,18.0,8.78,8.88,10.22,8.08,23.25,11.22,12.42,11.15,26.0,10.81,24.53,11.42,1.63,16.97,13.26,26.5,29.3,19.1,19.45,21.76,20.7,20.45,17.89,19.85,18.47,19.3,23.21,13.43,14.82,14.05,17.04,19.58,16.75,7.94,5.23
20.0,15.32,16.29,16.66,6.87,9.68,14.9,15.59,10.51,15.29,12.41,16.77,10.69,16.78,19.29,11.45,11.66,18.39,8.97,7.11,4.9,3.16,9.39,6.69,4.58,2.44,13.14,7.61,11.02,0.0,16.62,17.84,8.09,6.63,17.68,5.71,1.76,15.25,7.58,7.88,7.29,9.13,14.32,16.21,8.42,8.6,11.06,5.61,6.06,6.73,11.36,5.07,13.65,2.38,4.99,7.23,10.48,15.65,5.11,7.6,1.99,18.4,1.21,16.93,5.31,10.68,13.03,7.92,19.16,16.7,13.0,13.34,15.66,14.59,14.34,11.78,13.74,12.36,13.19,17.1,7.33,8.71,7.94,9.97,12.77,13.48,6.3,5.91
