6.71,2.72,1.94,9.03,2.28,11.78,6.76,2.51,6.99,5.71,10.66,9.98,2.89,7.86,10.73,6.01,9.75,5.23,1.47,0.0,4.68,4.35,8.0,1.98,5.43,5.17,3.67,6.05,2.52,5.86,4.83,9.03,4.19,3.68,1.95,8.51,12.31,10.87
2.49,3.46,3.22,8.36,5.4,11.12,2.64,5.46,8.98,1.48,10.0,9.32,4.15,7.19,10.06,1.31,4.21,4.56,4.71,4.68,0.0,4.1,8.13,4.29,3.04,1.68,1.68,2.23,5.61,3.08,3.13,9.15,2.35,3.26,4.46,8.64,12.44,11.0
6.18,1.59,2.9,9.6,5.07,12.36,3.22,5.14,8.65,5.17,11.23,10.56,5.82,8.43,11.3,5.48,6.22,5.8,4.39,4.35,4.1,0.0,9.71,3.96,5.87,3.16,2.17,2.39,5.28,2.2,4.11,10.73,3.47,5.39,4.13,10.22,14.02,12.58
10.21,8.12,7.65,2.72,7.56,5.66,9.93,7.54,13.64,9.21,3.12,3.64,5.43,1.62,4.61,7.88,2.2,6.28,10.02,8.0,8.13,9.71,0.0,8.67,3.23,8.64,7.39,9.19,9.98,10.03,6.3,2.19,7.04,5.11,6.94,1.74,7.63,6.18
6.37,2.37,1.38,8.89,4.07,11.64,6.08,4.43,5.92,5.37,10.52,9.85,5.11,7.72,10.59,5.67,9.61,5.09,1.17,1.98,4.29,3.96,8.67,0.0,5.37,4.8,3.29,5.35,1.31,5.48,4.45,9.99,3.81,4.64,3.39,9.47,13.28,11.83
5.12,4.52,4.29,4.71,4.99,9.83,4.84,4.96,10.05,4.12,4.82,5.63,2.87,5.91,8.78,2.79,1.69,3.28,5.78,5.43,3.04,5.87,3.23,5.37,0.0,3.39,2.92,3.95,6.61,4.79,2.64,5.43,1.79,2.11,4.37,3.45,11.3,9.85
3.76,4.05,3.72,8.86,5.9,11.61,2.12,5.96,9.47,2.76,10.49,9.82,4.65,7.69,10.56,3.06,4.71,5.06,5.21,5.17,1.68,3.16,8.64,4.8,3.39,0.0,2.12,1.39,6.04,2.24,3.57,9.59,2.78,3.7,4.9,9.08,12.88,11.44
3.76,1.68,2.21,7.61,4.39,10.37,3.48,4.46,7.97,2.76,9.25,8.57,3.4,6.44,9.31,3.06,4.23,3.81,3.7,3.67,1.68,2.17,7.39,3.29,2.92,2.12,0.0,2.73,4.6,3.57,2.12,8.35,1.48,2.58,3.45,7.84,11.64,10.2
4.31,3.28,4.59,9.41,6.77,12.16,0.8,6.83,10.03,3.31,11.04,10.37,5.2,8.24,11.11,3.61,5.26,5.61,5.76,6.05,2.23,2.39,9.19,5.35,3.95,1.39,2.73,0.0,6.64,1.43,4.16,10.18,3.38,4.29,5.82,9.67,13.47,12.03
7.69,3.69,2.72,10.2,4.55,12.96,7.4,4.79,4.82,6.68,11.84,11.16,5.17,9.03,11.9,6.98,10.92,6.4,1.71,2.52,5.61,5.28,9.98,1.31,6.61,6.04,4.6,6.64,0.0,6.8,5.77,11.39,5.13,6.05,4.22,10.88,14.68,13.24
5.16,3.1,4.41,10.25,6.58,13.01,2.2,6.65,10.16,4.15,11.89,11.21,6.04,9.08,11.95,4.45,6.1,6.45,5.89,5.86,3.08,2.2,10.03,5.48,4.79,2.24,3.57,1.43,6.8,0.0,5.06,11.08,4.27,5.19,5.58,10.56,14.37,12.92
5.21,3.61,3.37,6.52,4.43,9.28,4.93,4.4,9.13,4.21,8.15,7.48,2.31,5.35,8.22,3.69,3.95,2.72,4.86,4.83,3.13,4.11,6.3,4.45,2.64,3.57,2.12,4.16,5.77,5.06,0.0,7.26,1.88,1.49,3.63,6.75,10.55,9.11
11.23,9.14,8.67,3.74,8.58,3.79,10.95,8.56,14.66,10.23,2.01,2.17,6.46,2.65,1.87,8.9,4.4,7.3,11.04,9.03,9.15,10.73,2.19,9.99,5.43,9.59,8.35,10.18,11.39,11.08,7.26,0.0,8.08,6.15,7.97,2.74,4.18,4.07
4.43,2.97,2.73,7.26,4.91,10.01,4.14,5.14,8.49,3.42,8.89,8.22,3.05,6.09,8.96,2.1,3.11,3.46,4.22,4.19,2.35,3.47,7.04,3.81,1.79,2.78,1.48,3.38,5.13,4.27,1.88,8.08,0.0,2.1,4.36,7.48,11.28,9.84
5.34,3.8,3.33,5.33,3.24,8.08,5.05,3.21,9.32,4.34,6.96,6.29,1.12,4.16,7.03,3.01,3.72,1.53,5.69,3.68,3.26,5.39,5.11,4.64,2.11,3.7,2.58,4.29,6.05,5.19,1.49,6.15,2.1,0.0,2.76,5.88,9.69,8.24
6.54,2.54,2.07,7.16,1.5,9.91,6.59,1.18,8.06,5.53,8.79,8.11,1.16,5.99,8.86,5.27,7.88,3.36,3.17,1.95,4.46,4.13,6.94,3.39,4.37,4.9,3.45,5.82,4.22,5.58,3.63,7.97,4.36,2.76,0.0,7.12,10.92,9.48
10.72,8.63,8.16,3.23,8.07,6.17,10.43,8.05,14.15,9.71,2.13,4.14,5.94,2.13,5.11,8.39,2.42,6.79,10.52,8.51,8.64,10.22,1.74,9.47,3.45,9.08,7.84,9.67,10.88,10.56,6.75,2.74,7.48,5.88,7.12,0.0,8.11,6.67
14.52,12.43,11.96,7.03,11.87,1.56,14.24,11.85,17.95,13.52,5.21,4.07,9.74,6.68,2.48,12.19,8.56,10.59,14.33,12.31,12.44,14.02,7.63,13.28,11.3,12.88,11.64,13.47,14.68,14.37,10.55,4.18,11.28,9.69,10.92,8.11,0.0,2.97
13.08,10.99,10.52,5.58,10.43,1.41,12.79,10.4,16.51,12.07,5.1,3.96,8.3,5.23,2.37,10.75,7.12,9.15,12.88,10.87,11.0,12.58,6.18,11.83,9.85,11.44,10.2,12.03,13.24,12.92,9.11,4.07,9.84,8.24,9.48,6.67,2.97,0.0
