5.93,4.71,8.43,8.22,9.32,5.63,6.27,7.89,1.28,8.5,4.62,10.23,6.01,11.63,11.24,8.25,8.08,5.19,12.4,19.58,7.36,5.93,12.48,21.04,4.22,7.08,10.25,7.25,9.76,7.89,0.0,10.35,9.36,5.84,11.38,4.77,3.97,3.71,1.19,9.72,12.05,7.27,5.55,6.36,12.34,7.56,7.8,9.18,8.98,8.5,2.38
9.91,11.22,9.21,8.99,10.09,9.62,12.49,3.59,10.56,9.28,11.89,5.01,9.99,12.4,4.55,5.8,8.86,9.18,3.38,18.77,8.13,9.91,12.69,16.04,8.21,5.75,11.03,8.02,10.54,8.67,10.35,0.0,2.94,13.75,4.49,9.32,7.57,11.09,10.11,3.31,3.22,6.05,7.38,7.42,3.52,8.61,4.0,3.96,16.44,4.8,9.76
8.92,10.23,8.22,8.0,9.1,8.63,11.5,3.51,9.57,8.29,10.9,2.82,9.0,11.41,3.83,4.81,7.87,8.19,4.38,19.36,7.14,8.92,13.68,17.03,7.22,3.56,10.04,7.03,9.55,4.86,9.36,2.94,0.0,12.09,2.92,7.66,5.91,9.43,8.45,1.27,5.09,2.72,5.72,5.76,2.93,6.95,1.95,1.92,14.78,3.37,8.1
9.11,8.16,12.72,12.51,11.19,8.81,2.41,10.47,7.49,12.79,1.79,12.8,9.19,10.18,13.82,10.83,12.37,8.37,14.97,18.14,11.65,9.11,16.77,19.61,7.4,11.37,14.54,11.53,14.05,12.18,5.84,13.75,12.09,0.0,14.42,6.68,5.88,2.34,6.11,12.76,15.09,10.31,7.47,8.28,15.38,9.47,10.84,12.22,12.44,11.54,3.58
9.11,12.26,6.66,6.44,7.54,8.82,13.52,4.63,11.59,5.88,12.92,1.04,9.19,10.27,1.2,6.83,6.3,8.38,2.48,18.74,5.58,9.11,12.66,16.01,7.41,3.44,7.63,5.47,7.14,4.74,11.38,4.49,2.92,14.42,0.0,8.04,5.88,10.21,9.23,1.47,2.97,4.15,4.53,4.43,1.45,4.84,2.9,1.67,15.56,4.81,8.88
1.25,5.89,6.63,6.41,7.51,0.8,7.46,5.64,5.22,6.7,5.53,7.97,1.65,9.83,8.98,6.0,6.27,1.77,10.55,17.77,5.55,1.38,10.67,19.23,2.07,5.27,8.45,5.44,7.95,6.08,4.77,9.32,7.66,6.68,8.04,0.0,2.17,4.58,3.93,6.61,10.51,4.56,3.76,4.56,10.81,5.76,5.09,6.19,10.26,5.79,3.25
3.27,5.09,4.88,4.66,5.76,2.97,6.66,3.89,4.42,4.95,4.73,5.81,3.34,8.08,6.83,4.25,4.52,2.53,8.79,16.02,3.8,3.26,8.92,17.48,1.56,3.52,6.69,3.69,6.2,4.33,3.97,7.57,5.91,5.88,5.88,2.17,0.0,3.75,3.11,4.86,8.77,2.82,2.01,2.82,9.06,4.01,3.35,4.44,9.44,4.05,2.42
5.68,5.25,8.19,7.97,9.07,5.38,3.05,7.81,4.59,8.25,1.19,10.14,5.76,11.38,11.16,8.17,7.83,4.94,12.31,19.33,7.11,5.68,12.23,20.79,3.97,6.83,10.0,7.0,9.51,7.64,3.71,11.09,9.43,2.34,10.21,4.58,3.75,0.0,3.21,10.29,12.61,7.84,5.34,6.15,12.91,7.35,8.36,7.78,9.54,9.07,1.46
5.03,3.65,9.09,8.87,9.97,4.74,5.21,6.83,1.51,9.16,4.18,9.17,5.11,12.28,10.18,7.19,8.73,4.3,11.34,20.22,8.01,5.03,13.13,21.68,3.33,7.73,10.9,7.9,10.41,8.54,1.19,10.11,8.45,6.11,9.23,3.93,3.11,3.21,0.0,8.66,10.99,6.21,4.75,5.55,11.28,6.75,6.74,8.12,7.91,7.44,1.99
7.71,10.6,7.03,6.81,7.91,7.41,11.86,3.22,9.93,7.1,11.26,2.45,7.79,10.22,2.47,5.17,6.67,6.97,3.15,18.16,5.95,7.71,14.04,17.39,6.0,3.19,8.84,5.84,8.35,4.49,9.72,3.31,1.27,12.76,1.47,6.61,4.86,10.29,8.66,0.0,3.64,2.77,4.71,4.75,1.83,5.94,1.52,1.48,14.18,3.42,7.5
11.61,12.92,10.91,10.7,11.79,11.32,14.19,6.35,12.26,10.98,13.59,3.84,11.69,14.1,3.08,7.5,10.56,10.88,1.92,16.17,9.84,11.61,10.08,13.43,9.91,6.02,11.51,9.72,11.68,10.37,12.05,3.22,5.09,15.09,2.97,10.51,8.77,12.61,10.99,3.64,0.0,7.11,8.45,8.48,1.96,9.68,5.27,5.24,17.51,7.63,10.82
5.66,8.15,4.98,4.77,5.87,5.37,9.42,1.75,7.48,5.05,8.81,4.09,5.74,8.17,5.1,2.72,4.63,4.93,7.27,16.12,3.91,5.66,9.03,17.58,3.96,3.63,6.8,3.8,6.31,4.44,7.27,6.05,2.72,10.31,4.15,4.56,2.82,7.84,6.21,2.77,7.11,0.0,2.16,2.2,4.57,3.39,1.3,2.68,12.07,2.0,5.39
4.86,6.68,3.52,3.31,4.41,4.56,8.25,3.7,6.01,3.59,6.32,4.46,4.93,7.14,5.47,4.05,3.17,4.12,8.61,15.08,2.45,4.85,7.57,12.62,3.15,2.17,5.34,2.34,4.85,2.98,5.55,7.38,5.72,7.47,4.53,3.76,2.01,5.34,4.75,4.71,8.45,2.16,0.0,1.4,5.26,2.59,3.48,3.02,11.04,4.18,4.02
5.66,7.49,2.57,2.35,3.45,5.37,10.78,3.74,6.82,2.65,7.12,4.36,5.74,7.17,5.37,4.08,2.21,4.93,8.64,15.12,1.49,5.66,6.62,11.68,3.96,2.07,4.4,1.38,3.9,2.03,6.36,7.42,5.76,8.28,4.43,4.56,2.82,6.15,5.55,4.75,8.48,2.2,1.4,0.0,5.28,1.29,3.36,3.04,13.27,4.07,4.71
11.91,13.22,7.43,7.21,8.31,11.61,14.49,6.65,12.55,6.65,13.88,2.54,11.98,11.04,1.51,7.79,7.07,11.17,1.5,17.77,6.35,11.91,11.68,15.03,10.2,4.21,8.4,6.24,7.91,5.51,12.34,3.52,2.93,15.38,1.45,10.81,9.06,12.91,11.28,1.83,1.96,4.57,5.26,5.28,0.0,5.66,3.27,2.48,17.74,5.18,11.06
6.86,8.68,3.97,3.76,4.86,6.56,11.97,4.93,8.01,2.16,8.32,4.78,6.93,8.37,5.79,5.28,3.62,6.12,9.84,12.08,2.9,6.86,6.14,11.19,5.15,2.49,3.91,2.78,3.42,1.55,7.56,8.61,6.95,9.47,4.84,5.76,4.01,7.35,6.75,5.94,9.68,3.39,2.59,1.29,5.66,0.0,4.58,3.41,14.49,5.29,5.93
6.19,8.68,5.51,5.29,6.39,5.9,9.94,1.71,8.01,5.58,9.34,2.84,6.27,8.7,3.85,3.25,5.15,5.45,5.43,16.64,4.43,6.19,9.55,18.11,4.49,2.52,7.33,4.32,6.83,3.82,7.8,4.0,1.95,10.84,2.9,5.09,3.35,8.36,6.74,1.52,5.27,1.3,3.48,3.36,3.27,4.58,0.0,1.47,12.66,1.91,5.98
7.29,10.06,5.18,4.97,6.07,6.99,11.32,3.09,9.39,4.41,8.75,1.61,7.36,8.8,2.62,4.63,4.83,6.55,3.81,16.74,4.11,7.29,8.38,13.44,5.58,1.96,6.16,4.0,5.66,3.27,9.18,3.96,1.92,12.22,1.67,6.19,4.44,7.78,8.12,1.48,5.24,2.68,3.02,3.04,2.48,3.41,1.47,0.0,13.79,3.04,7.11
11.36,5.66,15.42,15.2,16.3,11.07,11.54,13.16,9.18,15.49,10.51,15.5,11.44,18.61,16.51,13.52,15.06,10.63,17.67,26.55,14.34,11.36,19.46,28.01,9.66,14.06,17.23,14.23,16.74,14.87,8.98,16.44,14.78,12.44,15.56,10.26,9.44,9.54,7.91,14.18,17.51,12.07,11.04,13.27,17.74,14.49,12.66,13.79,0.0,11.06,5.61
6.89,9.38,6.21,6.0,7.09,6.6,10.64,1.27,8.71,6.28,10.04,4.74,6.97,9.4,5.76,3.95,5.86,6.16,7.79,17.35,5.14,6.89,10.26,18.81,5.19,4.22,8.03,5.02,7.54,5.67,8.5,4.8,3.37,11.54,4.81,5.79,4.05,9.07,7.44,3.42,7.63,2.0,4.18,4.07,5.18,5.29,1.91,3.04,11.06,0.0,6.68
4.35,3.93,6.86,6.64,7.74,4.05,3.76,6.48,3.26,6.93,2.43,8.81,4.43,10.05,9.83,6.84,6.5,3.61,10.98,18.0,5.78,4.35,10.9,19.46,2.64,5.5,8.67,5.67,8.18,6.31,2.38,9.76,8.1,3.58,8.88,3.25,2.42,1.46,1.99,7.5,10.82,5.39,4.02,4.71,11.06,5.93,5.98,7.11,5.61,6.68,0.0
